uf,ano,medicos_mil_hab,dengue_cem_mil_hab,casos_hemorragica,obitos_hemorragica
RO,01/01/1990,0.36,,0,0
AC,01/01/1990,0.26,,0,0
AM,01/01/1990,0.47,,0,0
RR,01/01/1990,0.22,,0,0
PA,01/01/1990,0.51,,0,0
AP,01/01/1990,0.26,,0,0
TO,01/01/1990,0.47,,0,0
MA,01/01/1990,0.35,,0,0
PI,01/01/1990,0.46,,0,0
CE,01/01/1990,0.61,250.1,0,0
